-1496,15604,3100
-1392,15588,3268
-1400,15584,3108
-1660,15504,3116
-1516,15592,3144
-1460,15652,3060
-1288,15732,3256
-1364,15436,3136
-1460,15604,2988
-1448,15604,3156
-1508,15476,3104
-1492,15692,3156
-1284,15628,3112
-1436,15568,3188
-1336,15572,3212
-1420,15668,3024
-1264,15464,3084
-1380,15484,3156
-1392,15664,3116
-1556,15680,3172
-1500,15712,3328
-1400,15896,3164
-688,16048,3124
-1088,15852,2404
-2236,15080,2160
-1984,15560,2472
-2320,15048,2552
-996,15644,2360
-1732,15948,3444
-1584,14956,3436
-2596,14800,2668
-2776,13816,3332
-1416,14140,3344
580,17084,2504
-848,13784,2336
544,15292,2696
-584,14116,3312
-1392,18924,4124
1544,13612,2700
124,14596,5392
-92,14684,5684
-1316,14368,5404
16,15692,5472
-64,16048,6008
60,15040,6900
-2276,15272,6100
460,15120,7028
-280,15384,6664
180,13604,6084
2276,14220,5348
3884,14756,6020
4096,17912,7436
4816,16156,6248
5144,14156,5344
6516,14328,5324
4968,15308,4784
7460,14856,4072
7924,13620,4276
8260,13684,3804
8392,13296,3740
8688,13760,3840
7696,13500,4264
7792,13952,3948
7812,13604,3732
7856,13780,4040
7736,13532,4080
7656,13632,4196
7804,13828,3900
7636,13476,4080
7364,13688,4376
7316,13756,4216
7316,13948,4160
7336,13956,4224
7320,13860,4048
7772,13876,3680
7316,13924,4080
6140,14272,4876
7700,13784,4288
6856,14228,4540
7148,14052,4492
6584,14484,3676
6248,14832,4564
5468,14456,4484
5504,14324,5312
5592,14784,5288
4452,15304,5416
2928,14780,5944
-132,15184,7828
-1016,15184,7368
220,15384,5948
712,15472,6548
-1232,15508,6556
-2180,15584,6556
-1864,15988,6232
-2792,15388,7904
-1288,15024,3156
-1700,13880,4504
-2596,14864,4120
-4004,14248,4252
-2828,13164,4532
-1528,12468,4116
-2084,13800,3968
-2624,13184,3640
-1884,14240,2068
-1932,14676,2556
-1780,15288,3912
-2444,15640,3560
-1656,14676,3668
-1588,15304,3488
-524,15172,3376
-1704,15904,3468
-1692,15256,3984
-2292,17596,3684
-396,14176,3028
-1876,16256,3688
-280,15124,3104
-732,16224,3968
-840,15320,3496
-1004,15476,3540
-544,15612,3148
-896,15252,3840
-672,15832,3436
-976,15396,3504
-644,15808,3292
-792,15484,3436
-264,15728,3224
-464,15772,3292
-528,15480,3172
-900,15848,3432
-1192,15512,3324
-1184,16288,3592
-648,15332,3208
-308,15432,3312
1556,14636,1984
576,16608,2832
808,16136,2380
-248,16036,2468
-716,15260,2984
-1688,13440,3068
-1452,15152,2884
-1724,15232,3460
-2360,13920,3628
1628,15436,5964
-2248,14200,3756
-124,13920,3648
-2100,13980,4036
-356,13704,3476
748,13760,2560
748,16440,5324
-144,14092,3736
-292,16280,6120
-1304,13200,5904
444,15940,6124
3720,19752,7896
2908,16616,7216
3784,16024,4760
3064,14388,4372
4580,15596,4820
7132,14884,4748
9068,14824,2376
7568,14528,3720
8204,13884,4288
8152,13620,4572
7920,13532,4256
8000,13432,3104
7740,14620,4180
8252,14028,3860
6884,13796,3612
8516,13892,3116
8100,13680,3576
7428,13492,4100
7460,13744,3644
7908,13800,3644
7224,13700,4140
7240,13600,4228
6780,13884,4240
6756,14032,3940
7064,13984,3832
7228,14000,4156
7216,14072,3944
7040,14252,4376
6756,14044,4244
7020,14212,3836
6904,14112,4156
6804,14268,4148
6720,14192,4292
6104,14252,4328
6380,14736,4308
5752,13672,4972
4608,15188,5316
4088,14872,5588
4052,15188,6136
3848,16632,6596
4396,15260,5420
3268,15852,5912
1276,16316,7264
-1020,14376,7284
-1460,15460,6828
-1300,15092,6876
-2812,14772,6836
-2392,14948,7232
-1264,14304,5564
-4148,15328,6848
-1796,14004,5624
-456,14144,4516
-2520,13572,4684
-1624,13372,4956
-2632,12372,4640
-2680,14364,4252
-3272,14460,3436
-2760,14348,3316
-620,14364,1712
-4668,15424,3976
-3324,14472,3376
-4584,13884,3392
-3108,15752,2028
-6188,18884,5980
-744,15908,2380
-212,14152,2064
-5212,17128,2908
-3884,15112,1968
-3640,15492,2536
-3148,15040,1580
-1900,15768,1292
-2600,16552,1796
-2780,16064,1848
-1792,15928,1000
-1076,16188,736
