-428,15712,1304
-1932,16456,1232
-2476,16504,1112
-1892,15648,1052
-1260,15796,768
-1104,16168,680
-2316,16396,696
-1876,15992,696
-1468,16008,852
-1172,15848,432
-1660,16032,708
-2080,15984,520
-1996,15692,228
-2372,16164,684
-2352,16332,760
-2068,16196,692
-1140,16040,1148
-1900,16076,1196
-1464,17628,1892
260,16244,820
2048,18160,2356
4424,17872,3196
-124,14532,2764
44,14048,2688
412,14952,3156
988,14792,2544
2664,15708,2608
3480,14884,2516
2096,16060,3932
-2756,18944,3564
2280,13612,2784
-1480,17648,2792
-1184,15200,1280
-64,16432,-320
-444,16492,-92
-1808,17048,524
-716,15684,196
1176,16016,144
-780,15688,288
-2588,17568,-32
-3120,18584,980
-2172,17556,944
-968,15308,1192
-3060,15036,1480
-3064,17368,2132
-840,17360,1712
-824,16284,1872
-620,14616,1368
-248,13536,2088
1604,14380,3676
2868,14128,2264
472,13992,2312
308,16900,4240
292,18960,1844
-540,16512,2380
-1792,14324,1068
-2020,14780,936
-1468,16012,-148
-1728,16008,132
-1028,16076,152
-248,16260,144
-872,16136,20
-180,15944,288
-1312,15680,508
-924,15576,-192
-1004,16488,-368
-2852,15196,496
-3368,17984,636
-2080,17556,976
-1744,15964,948
-680,16132,2584
-900,17244,2732
-1112,14824,2168
-864,14324,1612
168,14896,2176
352,15028,2180
1356,16584,2548
-1300,18200,3068
-1168,15276,2424
-568,14288,2044
-1580,16048,2076
-1704,16184,660
-2448,17056,472
-1676,15272,484
-500,16180,556
-664,16444,536
-732,16184,116
-580,15868,392
-396,16452,312
-420,16236,104
-1068,15940,216
-2620,15116,236
-1776,16604,352
-764,18924,868
-4160,17368,596
-816,17284,2496
-760,14820,1668
-168,14880,2348
616,14620,2160
300,14820,1904
1376,14524,1776
860,15224,2760
136,16188,2204
1036,15052,1720
44,17764,2708
-1544,18476,1608
1444,14512,1164
-32,15308,660
-284,17556,8
-2080,14716,-1148
-1688,17264,1096
-1960,14724,464
-1152,15180,236
180,15944,-220
-652,16056,-252
-184,17428,-256
-1244,17072,-668
-1392,17604,-820
-2296,16172,-436
-2228,16124,1104
-304,17864,2324
672,17836,2448
160,15004,1128
-272,14724,1560
-428,14776,2328
792,14316,1916
-884,15332,2228
304,16072,2764
1416,15004,1768
860,14352,1464
2652,17564,2280
-2632,18588,2668
-724,14160,1356
-548,15252,-144
504,16608,-372
80,16836,-872
4,16192,-1116
-484,16060,-272
-1248,15508,448
-1556,15948,60
-2616,16148,1636
-2244,15892,-264
-2128,18024,1476
-3364,18916,264
-1872,16484,656
-1372,14640,1872
-808,18628,2408
720,15844,2144
600,14492,1876
-44,14228,2180
456,14504,2572
416,14592,1944
