-3736,15344,1604
-3784,15520,232
-2380,14784,372
-3056,16000,1916
-2108,15260,2256
-1848,15612,1144
-1340,16748,1620
-1408,15072,1572
-3664,15708,2788
-5496,14956,2016
-2408,15868,1804
-352,15808,2072
-936,16076,1936
-2940,15540,1888
-3604,15584,2076
-2784,15556,2116
-2588,15624,2092
-2632,15656,2072
-2660,15512,1968
-2676,15496,1720
-2564,15656,1840
-2580,15680,1464
-2332,15872,1580
-2452,16100,1704
-2640,16212,1888
-3336,16048,2188
-4460,15488,2164
-2804,15208,1392
1152,17020,1544
2776,16484,1972
-828,15936,2856
-1088,13492,3132
-428,13696,2756
-376,15008,2396
960,16392,3308
820,15628,3040
1812,15508,3156
-2284,18624,3656
-3412,16396,1184
-3980,14536,1760
-1860,16568,1088
-1620,15756,624
-1152,14900,136
-760,16708,-676
-1512,15940,628
-2756,15676,-448
-124,16200,540
-3488,15596,1092
-5212,18144,1924
-3200,16256,628
-3372,15500,1876
-3060,17240,2404
-2988,18056,2300
-2400,15000,2504
-1912,14928,2652
-1388,13672,2648
228,13048,3200
380,16836,3224
-492,18540,2680
-1088,16420,836
-5004,15080,1904
-4712,14696,1308
-2412,16484,656
-1272,16840,120
-2636,15984,180
-3052,16444,-68
-2800,15788,212
-2212,15600,56
-1524,16384,144
-1180,16192,216
-1300,16576,596
-1628,16024,344
-1196,15916,636
-1248,15060,8
-3176,15908,1004
-5564,16300,1324
-3384,15672,1360
-3624,16424,2600
-1944,16388,2568
-2132,15068,2924
-1096,14980,2588
-1464,14104,2896
-396,14236,2820
-1216,13004,2984
-2764,16584,3348
-608,18188,2952
1328,15184,2892
-24,14708,1408
-4304,14632,1896
-3608,16292,1768
-2068,15644,728
-2576,16384,496
-2312,15892,488
-1688,16332,160
-1744,16048,240
-464,16648,504
-1696,16112,444
-1948,16012,352
-2868,15948,80
-4004,14832,724
-3908,15872,936
-3756,17848,848
-4612,15596,1564
-3748,14688,2104
-3060,16000,2340
-2836,17180,2684
-1628,15416,2496
-2420,14060,2748
-2288,15040,3548
-728,14096,3168
-392,13900,3100
-400,15528,3564
-336,14956,3336
-968,14364,2736
-3184,15820,1068
-3292,16552,1128
-2704,15804,1100
-1060,15900,1264
-996,16252,292
-3052,16484,660
-2804,15652,600
-2500,15948,376
-1760,16120,312
-2388,16588,32
-2988,15576,792
-2692,15516,724
-3180,16216,552
-2608,16876,224
-3076,17268,1020
-2800,16068,1292
-3872,15656,1400
-5220,15952,2952
-2844,16384,2592
-2184,13868,2984
396,12936,3068
-568,14000,1036
-1468,17260,2660
1804,15912,2212
-3228,19632,3296
908,13688,2716
-2924,13564,608
-6392,16872,1416
-4404,14816,1480
-2720,16232,376
-1000,16308,436
-2424,16124,240
-2312,16208,344
-2544,16060,-208
-1808,16420,-104
-2112,16064,-392
-1544,15112,424
-2388,16300,988
-2680,14404,2148
-1172,15276,2008
-4436,14820,2256
-3832,15432,2968
-3368,16808,3428
-1904,16220,3468
-1900,13952,2972
-1608,14460,3020
-836,14716,3100
-1176,14068,3396
-1396,15200,2852
624,14328,1940
12,18344,3276
316,16748,4504
-992,14056,600
-4400,17000,1272
-4208,15744,2104
-3632,16672,1072
-1736,15712,668
-2720,16264,696
-2448,15776,552
-1388,16468,512
-2244,15976,232
-2268,15960,64
-1700,16412,-28
-1304,16388,-196
-2628,15612,1680
-4676,15636,1924
-4472,14612,2540
-2784,14696,1320
-1620,16696,1984
-1608,16616,2992
-1012,15208,2844
-2108,14644,3272
-2228,14788,2976
-1792,14904,2920
-2436,15372,2960
-2892,14456,2840
