MAXIMO_X,MAXIMO_Y,MAXIMO_Z,MINIMO_X,MINIMO_Y,MINIMO_Z,MEDIA_X,MEDIA_Y,MEDIA_Z,MODA_X,MODA_Y,MODA_Z,MEDIANA_X,MEDIANA_Y,MEDIANA_Z,VARIANZA_X,VARIANZA_Y,VARIANZA_Z,TIPO,TEXTO_TIPO
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
4656,15776,1620,3892,15416,1256,4367.84,15603.89,1427.68,4348,15608,1424,4480,4480,4480,104.56,64.62,93.94,7,QUIETO_DE_PIE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
1388,3008,-17440,1244,2860,-17640,1321.67,2939.67,-17532.33,1304,2860,-17508,1380,1380,1380,46.38,51.29,67.87,8,ACOSTADO_FRENTE
