-2352,15616,2580
-1832,15920,3332
-2100,15876,3548
-1608,15076,3368
-1888,15476,3500
-2132,15256,3276
-1788,15556,3128
-2504,15996,2680
-2644,16180,3036
-2752,16632,3132
-4096,16196,3040
-3572,13800,3076
-684,15140,5168
4668,18864,6380
-2280,15176,5980
-2092,14552,5972
-492,13816,7116
-340,13372,6132
-684,12564,6644
-380,12972,7240
-296,14208,7840
-3252,15220,7916
-2188,15592,9080
-3340,17716,8680
-3932,15380,7608
-4356,14220,6512
-4508,12392,3928
-5756,14516,4840
-3456,15456,4084
-2172,14388,2444
-4872,15852,1496
-4376,14112,392
-2784,14056,-340
-4388,13920,-520
-3660,14744,-20
-4776,14844,972
-4652,15476,448
-2880,15000,2108
-4100,14652,2864
-1400,16080,3228
-3472,14856,4520
-3176,14848,4888
-3380,13192,5220
-2020,14548,5456
-3432,12648,5668
456,13968,6556
-2644,13776,8392
-640,13364,7600
3076,13552,7244
-848,14220,7688
-1156,18372,8236
-5132,20340,7992
-2324,11984,6064
-4736,13344,3668
-6532,15216,4288
-6240,14796,3788
-4636,15056,3624
-3748,13968,216
-5220,13804,-120
-3604,14480,444
-3936,15620,540
-4680,15488,472
-5564,15764,1224
-5212,15924,1152
-4620,18004,388
-3584,15504,3916
-3252,16688,3840
-2192,14584,3160
-5072,15868,3252
-1748,11532,4656
-1928,14144,5176
-928,13268,5956
-792,13492,6464
-964,13444,7544
2192,13112,7612
-1516,12476,8236
1192,13572,7708
-6068,15024,4920
-5532,12704,3880
-6472,12940,2620
-3632,16052,3000
-3572,14312,2316
-4424,15660,2156
-4248,13984,108
-4168,12192,-464
-5772,15444,468
-3356,14944,640
-2632,16164,1416
-2164,16300,1496
-3020,14008,-232
-5168,17492,996
-7196,19448,1952
-3096,15160,864
572,15516,4432
-2436,15568,3388
-1812,14540,6100
-240,13096,5636
576,14144,6240
-1304,14684,7276
140,14056,7712
-2048,13712,7164
-5832,18240,7240
-4556,15288,5536
-3512,15056,5576
-4280,13340,4620
-5604,14384,5016
-5520,16116,4564
-6152,14272,3776
-5440,12976,3316
-3832,14456,2188
-2336,14112,1576
-2884,14160,1128
-3864,13480,872
-3476,14956,1184
-2580,14308,1536
-4684,18684,1400
-6120,18244,-560
-4736,15620,2096
-1148,14500,4032
-1672,15884,3512
-2564,14924,4916
-1440,15560,4616
-1748,12156,5340
348,14808,5600
-596,12704,5392
320,14460,6184
-1992,14384,7048
-404,13304,7820
-612,16716,7148
-5380,23420,9300
-4672,13132,6152
336,14620,5592
-5488,12512,4168
-4256,13212,2340
-3840,13760,1828
-4380,12024,436
-5036,14408,856
-5564,13944,332
-4576,14540,1172
-5304,16268,640
-3680,14004,1408
-4280,14736,216
-7200,18552,1972
-3732,17288,76
-2244,16276,4888
-1644,16004,4212
-2980,14308,4372
-4540,16692,4944
1728,13044,5344
-140,12908,5872
1228,12604,5932
1684,14240,7264
-4236,17604,8736
-1340,15668,8984
-5416,9496,7088
-5228,12784,6660
-6008,16376,6972
-4820,13480,5540
-5512,15924,4420
-3692,13760,3428
-3608,14576,3068
-4176,12608,1468
-4444,12892,1664
-3320,13404,1600
-3008,13624,884
-3056,15220,1744
-1944,16428,2636
-1156,15920,2496
-1996,15100,972
-2736,15688,1788
-6036,13588,1312
-1980,16800,4296
-832,14640,2904
296,14340,3692
-764,15060,3580
-668,15040,2748
-120,14688,4156
-1540,15884,4252
-1484,13944,3868
-1536,15468,4052
-6204,19644,2660
-3240,13636,3032
-168,15068,2064
-1584,14504,1616
-972,16288,532
-2308,15960,1096
-2428,14776,2628
-1032,17628,1444
-1252,15968,1440
-2928,16380,1264
