-3232,15468,2072
-3212,15484,2060
-3120,15416,2004
-3048,15440,2092
-3076,15500,1952
-3288,15496,2096
-3220,15572,2076
-3068,15428,2004
-3028,15580,2040
-3160,15408,2244
-3344,15528,2204
-3456,15264,1912
-3396,15324,2312
-3784,15300,1848
-3436,15624,1988
-3688,15300,1844
-2732,15256,1328
1476,14380,3424
-5112,17012,2024
-4152,15688,720
-3492,15564,444
-3672,16304,312
-2456,15484,-532
-3712,15764,-192
-4112,15724,-400
-4468,14892,-324
-3972,15404,-344
-3484,15824,-800
-3984,15928,-20
-3384,15492,-688
-5108,15868,-124
-6232,16800,-208
-4180,15688,-1904
-5084,16976,-2968
-7328,25892,-448
-4748,14816,196
-4492,16484,-236
-4172,18928,772
-5168,11996,260
-5376,12176,748
-4092,12960,1100
-5280,13292,1036
-6152,14508,1616
-4644,14744,1796
-2872,12988,1980
-3456,12920,1148
-3852,13704,1616
-8092,18592,1688
-2780,13724,1464
-2984,15416,2844
-3080,15628,2248
-3408,15840,1532
-3996,15104,828
-4016,16544,1384
-4376,15836,572
-2904,15404,452
-3800,15332,-272
-3192,15500,172
-2432,15404,140
-3440,15240,688
-5236,15276,456
-3976,15160,652
-3948,15468,464
-4456,15180,1076
-4340,14572,488
-2684,17372,808
-5748,14312,1076
-6012,19096,-1008
-6456,20500,336
-10000,18068,-324
-3008,14464,-472
-7572,15636,-228
-5540,15608,1104
-5248,14432,236
-6972,14756,576
-5376,13696,1052
-4416,14476,756
-3416,15156,1584
-2328,13576,1156
-3576,14172,1296
-1428,14820,2176
-8676,20624,3080
-2056,10212,1200
-2324,16284,1300
-4232,15176,1020
-3380,16976,2532
-4516,16372,880
-3352,14836,1072
-2588,15308,1480
-2976,15868,1016
-4048,15972,588
-4356,14824,1420
-3640,15772,964
-2184,15668,872
-3164,16080,656
-3336,15400,684
-3292,16348,-136
-3408,15276,712
-4000,16964,-100
-6252,12648,144
-8644,16472,-2016
-8212,18904,-2032
-5156,22248,-168
-6824,19820,-304
-10008,11672,-892
-9068,15808,-1100
-4652,13012,1440
-3872,14700,196
-6100,12152,412
-6628,12568,412
-5772,11756,1476
-6048,13444,1080
-3616,14088,1844
-4548,14072,2052
-3592,14052,2028
-2704,15564,2496
-7000,17372,2820
-1224,15268,1656
-1960,14304,1536
-3380,15628,1224
-3468,15236,2000
-3960,15772,1548
-3176,15796,1908
-4132,15108,1264
-2784,16500,1384
-4320,14400,1072
-2100,15912,584
-2072,15620,592
-2148,15620,396
-2856,16500,324
-4072,16088,768
-5156,15252,780
-4844,15260,48
-3416,15636,56
-3484,16140,-324
-5900,14692,-72
-3600,17112,-640
-6744,20636,-764
-9784,18968,-1172
-6660,15792,-1956
-7236,15092,-1200
-6288,15436,632
-7628,14196,412
-6348,16484,-108
-6404,13660,-372
-5876,12416,400
-3860,12392,464
-5228,14996,1104
-4936,12192,1012
-3688,15664,796
-4964,15468,1680
-3368,13252,1664
-2392,17524,992
-7312,18096,1964
-3004,13000,1052
-2784,14824,2016
-4728,15152,1960
-2912,15956,1864
-3740,15584,1796
-2288,16152,2216
-2204,15804,1864
-2416,16208,588
-3388,15952,908
-3388,15212,616
-3320,15376,164
-3268,15708,-272
-2868,15208,-504
-1304,15292,-1192
-5204,16140,36
-6276,14596,224
-5988,14660,664
-3688,16800,-528
-2456,17520,-1328
-8328,20300,-1684
-8232,22256,-344
-7544,16608,972
-2772,14548,-1184
-6260,18024,-1324
-5932,11504,-424
-5672,17432,-316
-6824,14680,-108
-6772,15476,336
-3776,14444,1340
-3820,11480,1600
-2580,11344,1768
-2640,12612,1760
-4360,12860,2152
-2936,14584,2300
-2928,14024,2296
-3732,14228,2312
